Date,Open,High,Low,Close,Volume,Total Income From Operations,Net P/L After M.I & Associates,Basic EPS,EPS_TTM,Annualized_Sales,Annualized_Profit,Equity Share Capital,Reserves,Borrowings,Total,Avg_Assets,Cash from Operating Activity,Daily_PE,Total_Equity,Net_Margin,Asset_Turnover,Equity_Multiplier,DuPont_ROE,Debt_to_Equity,Earnings_Quality,Earnings_Yield
2020-01-29,580.2871913795456,588.1960850182678,578.8427253732511,585.2835083007812,13788350.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.658040063621023,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.549958104279936
2020-01-30,586.7515702363573,586.7515702363573,576.4510357873509,580.642333984375,12111984.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.589383638822115,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.642278911378707
2020-01-31,583.1996731083684,586.2070018867788,577.8955128734751,580.7607421875,11178268.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.591135239460058,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.639905229368136
2020-02-03,566.8846757962867,567.3345611447334,557.7444068549465,564.8956298828125,13077010.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.356444229035686,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.966812349747443
2020-02-04,567.3581594243379,584.4073194738172,567.3581594243379,582.4182739257812,20897704.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.61565493973049,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.60677867202608
2020-02-05,584.8335688880729,591.0375573266558,581.234313274247,589.4510498046875,18020682.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.719690085868157,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.468297498562269
2020-02-06,589.4510640616896,591.3690599560683,585.9228002816666,587.1541748046875,11827550.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.685712645039755,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.51316006949736
2020-02-07,590.0904283388669,590.5640161625739,583.270752115284,588.290771484375,6815448.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.702526205390162,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.49091627418049
2020-02-10,588.6458915087595,588.6458915087595,580.6423045001527,587.3909301757812,9219834.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.689214943428716,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.508519544176513
2020-02-11,588.8117417811588,594.3526959818439,586.3254058019519,587.5330200195312,11613520.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.691316864194247,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.505736306999868
